title,price_gbp,rating
Last One Home (New Beginnings #1),59.98,3
The Improbability of Love,59.45,1
Candide,58.63,3
Miller's Valley,58.54,2
The Death of Humanity: and the Case for Life,58.11,4
Digital Fortress,58.0,5
Animal Farm,57.22,3
Kitchens of the Great Midwest,57.2,5
The Dinner Party,56.54,2
Shtum,55.84,4
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1
The Murder That Never Was (Forensic Instincts #5),54.11,3
Finders Keepers (Bill Hodges Trilogy #2),53.53,5
The Testament of Mary,52.67,4
The Husband's Secret,52.51,5
When I'm Gone,51.96,3
The Regional Office Is Under Attack!,51.36,5
The High Mountains of Portugal,51.15,1
"We Love You, Charlie Freeman",50.27,5
The Pilgrim's Progress,50.26,2
Soumission,50.1,1
Memoirs of a Geisha,49.67,3
Crazy Rich Asians (Crazy Rich Asians #1),49.13,5
11/22/63,48.48,3
Private Paris (Private #10),47.61,5
Kierkegaard: A Christian Missionary to Christians,47.13,1
Of Mice and Men,47.11,2
The Silent Sister (Riley MacPherson #1),46.29,5
The Firm,45.56,3
The Little Prince,45.42,2
Take Me with You,45.21,3
Lies and Other Acts of Love,45.14,1
Jurassic Park (Jurassic Park #1),44.97,1
The Expatriates,44.58,2
Beyond Good and Evil,43.38,1
The Story of Hong Gildong,43.19,4
The Bourne Identity (Jason Bourne #1),42.78,4
The Vacationers,42.15,4
My Name Is Lucy Barton,41.56,1
Inferno (Robert Langdon #4),41.0,5
Deception Point,40.32,4
Sister Dear,40.2,4
A Man Called Ove,39.72,1
Bright Lines,39.07,5
Beowulf,38.35,2
Sense and Sensibility,37.46,1
The Nicomachean Ethics,36.34,1
And Then There Were None,35.01,2
Siddhartha,34.22,5
Emma,32.93,2
Gone with the Wind,32.49,3
The Bette Davis Club,30.66,3
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5
The Picture of Dorian Gray,29.7,2
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1
The Metamorphosis,28.58,1
Little Women (Little Women #1),28.07,4
The Shack,28.03,1
The Time Keeper,27.88,5
The Infinities,27.41,1
Eligible (The Austen Project #4),27.09,3
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4
Atlas Shrugged,26.58,5
Still Life with Bread Crumbs,26.41,3
The Nightingale,26.26,4
Meditations,25.89,2
The First Hostage (J.B. Collins #2),25.85,3
Cometh the Hour (The Clifton Chronicles #6),25.01,3
The Little Paris Bookshop,24.73,3
My Mrs. Brown,24.48,3
Three-Martini Lunch,23.21,3
The Da Vinci Code (Robert Langdon #2),22.96,2
Big Little Lies,22.11,1
The Art of Fielding,22.1,1
Hystopia: A Novel,21.96,4
Tuesday Nights in 1980,21.04,2
Critique of Pure Reason,20.75,1
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1
