title,rating,price_gbp
Digital Fortress,5,58.0
Kitchens of the Great Midwest,5,57.2
Finders Keepers (Bill Hodges Trilogy #2),5,53.53
The Husband's Secret,5,52.51
The Regional Office Is Under Attack!,5,51.36
"We Love You, Charlie Freeman",5,50.27
Crazy Rich Asians (Crazy Rich Asians #1),5,49.13
Private Paris (Private #10),5,47.61
The Silent Sister (Riley MacPherson #1),5,46.29
Inferno (Robert Langdon #4),5,41.0
Bright Lines,5,39.07
Siddhartha,5,34.22
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",5,29.93
The Time Keeper,5,27.88
Atlas Shrugged,5,26.58
Thirst,5,17.27
Sophie's World,5,15.94
The Silent Wife,5,12.34
Dear Mr. Knightley,5,11.21
The Death of Humanity: and the Case for Life,4,58.11
Shtum,4,55.84
The Testament of Mary,4,52.67
The Story of Hong Gildong,4,43.19
The Bourne Identity (Jason Bourne #1),4,42.78
The Vacationers,4,42.15
Deception Point,4,40.32
Sister Dear,4,40.2
Little Women (Little Women #1),4,28.07
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),4,26.78
The Nightingale,4,26.26
Hystopia: A Novel,4,21.96
The Stranger,4,17.44
The Secret Garden,4,15.08
Eight Hundred Grapes,4,14.39
I Am Pilgrim (Pilgrim #1),4,10.6
