category,title,price_gbp,price_inr,rating,in_stock
Classics,The Secret Garden,15.08,1590.94,4,True
Classics,The Metamorphosis,28.58,3015.19,1,True
Classics,The Pilgrim's Progress,50.26,5302.43,2,True
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,1563.51,2,True
Classics,Little Women (Little Women #1),28.07,2961.39,4,True
Classics,Gone with the Wind,32.49,3427.7,3,True
Classics,Candide,58.63,6185.47,3,True
Classics,Animal Farm,57.22,6036.71,3,True
Classics,Wuthering Heights,17.73,1870.52,3,True
Classics,The Picture of Dorian Gray,29.7,3133.35,2,True
Classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,2825.29,4,True
Classics,Beowulf,38.35,4045.93,2,True
Classics,And Then There Were None,35.01,3693.56,2,True
Classics,The Story of Hong Gildong,43.19,4556.55,4,True
Classics,The Little Prince,45.42,4791.81,2,True
Classics,Sense and Sensibility,37.46,3952.03,1,True
Classics,Of Mice and Men,47.11,4970.11,2,True
Classics,Emma,32.93,3474.12,2,True
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,5858.42,1,True
Philosophy,Sophie's World,15.94,1681.67,5,True
Philosophy,The Death of Humanity: and the Case for Life,58.11,6130.61,4,True
Philosophy,The Stranger,17.44,1839.92,4,True
Philosophy,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,5719.16,1,True
Philosophy,Kierkegaard: A Christian Missionary to Christians,47.13,4972.22,1,True
Philosophy,"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,3157.62,5,True
Philosophy,Critique of Pure Reason,20.75,2189.13,1,True
Philosophy,"Run, Spot, Run: The Ethics of Keeping Pets",20.02,2112.11,1,True
Philosophy,The Nicomachean Ethics,36.34,3833.87,1,True
Philosophy,Meditations,25.89,2731.4,2,True
Philosophy,Beyond Good and Evil,43.38,4576.59,1,True
Fiction,Soumission,50.1,5285.55,1,True
Fiction,Private Paris (Private #10),47.61,5022.86,5,True
Fiction,"We Love You, Charlie Freeman",50.27,5303.49,5,True
Fiction,Thirst,17.27,1821.99,5,True
Fiction,The Murder That Never Was (Forensic Instincts #5),54.11,5708.61,3,True
Fiction,Tuesday Nights in 1980,21.04,2219.72,2,True
Fiction,The Vacationers,42.15,4446.83,4,True
Fiction,The Regional Office Is Under Attack!,51.36,5418.48,5,True
Fiction,Finders Keepers (Bill Hodges Trilogy #2),53.53,5647.42,5,True
Fiction,The Time Keeper,27.88,2941.34,5,True
Fiction,The Testament of Mary,52.67,5556.69,4,True
Fiction,The First Hostage (J.B. Collins #2),25.85,2727.18,3,True
Fiction,Take Me with You,45.21,4769.66,3,True
Fiction,Still Life with Bread Crumbs,26.41,2786.26,3,True
Fiction,Shtum,55.84,5891.12,4,True
